Algorithm,Instance,MetricName,ExecutionId,MetricValue
Yolo3D,fold1,DSC,1,0.0869229135045342
Yolo3D,fold1,DSC,2,0.0869229135045342
Yolo3D,fold1,DSC,3,0.0736559017842496
Yolo3D,fold1,DSC,4,0.0844375205916222
Yolo3D,fold1,DSC,5,0.0932978388150813
Yolo3D,fold1,DSC,6,0.1041318540476626
Yolo3D,fold1,DSC,7,0.0911111636519691
Yolo3D,fold1,DSC,8,0.0911267447906883
Yolo3D,fold1,DSC,9,0.0906559990155033
Yolo3D,fold1,DSC,10,0.0834986786767227
Yolo3D,fold1,DSC,11,0.0871490877864345
Yolo3D,fold1,DSC,12,0.0889948432157535
Yolo3D,fold1,DSC,13,0.1002435200160268
Yolo3D,fold1,DSC,14,0.07885379116388
Yolo3D,fold1,DSC,15,0.0853784331350138
Yolo3D,fold1,DSC,16,0.0957075257895678
Yolo3D,fold1,DSC,17,0.0917996739632063
Yolo3D,fold1,DSC,18,0.0957488232844117
Yolo3D,fold1,DSC,19,0.0897521025820454
Yolo3D,fold1,DSC,20,0.0986761933511735
Yolo3D,fold1,DSC,21,0.067190663368804
Yolo3D,fold1,DSC,22,0.0818719734502921
Yolo3D,fold1,DSC,23,0.0839025934184108
Yolo3D,fold1,DSC,24,0.0906251378029654
Yolo3D,fold1,DSC,25,0.0900033391245708
Yolo3D,fold1,DSC,26,0.0950859002595819
Yolo3D,fold1,DSC,27,0.0979204675853937
Yolo3D,fold1,DSC,28,0.0920726193152595
Yolo3D,fold1,DSC,29,0.0748931586925282
Yolo3D,fold1,DSC,30,0.0870667687314976
Yolo3D,fold2,DSC,1,0.0911000598526048
Yolo3D,fold2,DSC,2,0.0911000598526048
Yolo3D,fold2,DSC,3,0.0886118378622534
Yolo3D,fold2,DSC,4,0.1049785866153169
Yolo3D,fold2,DSC,5,0.0671748017045558
Yolo3D,fold2,DSC,6,0.0837961762412977
Yolo3D,fold2,DSC,7,0.1064828670064806
Yolo3D,fold2,DSC,8,0.0856112854104263
Yolo3D,fold2,DSC,9,0.0734886568887961
Yolo3D,fold2,DSC,10,0.0974582054608276
Yolo3D,fold2,DSC,11,0.0824619227305727
Yolo3D,fold2,DSC,12,0.0807012761566516
Yolo3D,fold2,DSC,13,0.0833186904015582
Yolo3D,fold2,DSC,14,0.0860932480489956
Yolo3D,fold2,DSC,15,0.0813007414656555
Yolo3D,fold2,DSC,16,0.0861656973917002
Yolo3D,fold2,DSC,17,0.0775396546108412
Yolo3D,fold2,DSC,18,0.0918281580184251
Yolo3D,fold2,DSC,19,0.0833854517185009
Yolo3D,fold2,DSC,20,0.0892686636572045
Yolo3D,fold2,DSC,21,0.1032409990373663
Yolo3D,fold2,DSC,22,0.0897846112750867
Yolo3D,fold2,DSC,23,0.0875971134631022
Yolo3D,fold2,DSC,24,0.0941848057216935
Yolo3D,fold2,DSC,25,0.0974363939154629
Yolo3D,fold2,DSC,26,0.0836744699881766
Yolo3D,fold2,DSC,27,0.0941821269905905
Yolo3D,fold2,DSC,28,0.0803686681136487
Yolo3D,fold2,DSC,29,0.0840805281505466
Yolo3D,fold2,DSC,30,0.1010199325779966
Yolo3D,fold3,DSC,1,0.138913310564817
Yolo3D,fold3,DSC,2,0.138913310564817
Yolo3D,fold3,DSC,3,0.1367262642497764
Yolo3D,fold3,DSC,4,0.1403882792232167
Yolo3D,fold3,DSC,5,0.1383052720555038
Yolo3D,fold3,DSC,6,0.1378399865531292
Yolo3D,fold3,DSC,7,0.1376106740220291
Yolo3D,fold3,DSC,8,0.1382393238422366
Yolo3D,fold3,DSC,9,0.1391419101736042
Yolo3D,fold3,DSC,10,0.1429702263471178
Yolo3D,fold3,DSC,11,0.1343351828576354
Yolo3D,fold3,DSC,12,0.1433016752134407
Yolo3D,fold3,DSC,13,0.1399342646911328
Yolo3D,fold3,DSC,14,0.1353225401411004
Yolo3D,fold3,DSC,15,0.1422198448775477
Yolo3D,fold3,DSC,16,0.1363249900267254
Yolo3D,fold3,DSC,17,0.1437748365749711
Yolo3D,fold3,DSC,18,0.1427332496096167
Yolo3D,fold3,DSC,19,0.1355272095796119
Yolo3D,fold3,DSC,20,0.1402449102112872
Yolo3D,fold3,DSC,21,0.1360025924746393
Yolo3D,fold3,DSC,22,0.1380649828291691
Yolo3D,fold3,DSC,23,0.1368410563446025
Yolo3D,fold3,DSC,24,0.1437286899545135
Yolo3D,fold3,DSC,25,0.1387794986939621
Yolo3D,fold3,DSC,26,0.1417171429149158
Yolo3D,fold3,DSC,27,0.1382756606354721
Yolo3D,fold3,DSC,28,0.138742504509799
Yolo3D,fold3,DSC,29,0.1394451429689434
Yolo3D,fold3,DSC,30,0.1382395851846875
Yolo3D,fold4,DSC,1,0.0344268254710906
Yolo3D,fold4,DSC,2,0.0344268254710906
Yolo3D,fold4,DSC,3,0.0332284017538815
Yolo3D,fold4,DSC,4,0.0328800045188333
Yolo3D,fold4,DSC,5,0.0337250183938631
Yolo3D,fold4,DSC,6,0.0338636931405992
Yolo3D,fold4,DSC,7,0.0325931771432267
Yolo3D,fold4,DSC,8,0.0352473366106158
Yolo3D,fold4,DSC,9,0.0350287450176851
Yolo3D,fold4,DSC,10,0.0320506976909275
Yolo3D,fold4,DSC,11,0.0368660167503545
Yolo3D,fold4,DSC,12,0.0330074362513621
Yolo3D,fold4,DSC,13,0.0368580969703585
Yolo3D,fold4,DSC,14,0.0370443973929696
Yolo3D,fold4,DSC,15,0.0363448480288741
Yolo3D,fold4,DSC,16,0.0356847727460345
Yolo3D,fold4,DSC,17,0.034921120356126
Yolo3D,fold4,DSC,18,0.0311383376609989
Yolo3D,fold4,DSC,19,0.0366248421707889
Yolo3D,fold4,DSC,20,0.0345341435521068
Yolo3D,fold4,DSC,21,0.0380585368733709
Yolo3D,fold4,DSC,22,0.0356303823007502
Yolo3D,fold4,DSC,23,0.0316764652605127
Yolo3D,fold4,DSC,24,0.0360643218309176
Yolo3D,fold4,DSC,25,0.033539188407508
Yolo3D,fold4,DSC,26,0.0343728272515543
Yolo3D,fold4,DSC,27,0.0372386692212462
Yolo3D,fold4,DSC,28,0.0383258333826507
Yolo3D,fold4,DSC,29,0.0334352607690031
Yolo3D,fold4,DSC,30,0.0360509186420751
Yolo3D,fold5,DSC,1,0.0602333395481002
Yolo3D,fold5,DSC,2,0.0602333395481002
Yolo3D,fold5,DSC,3,0.0560338606133959
Yolo3D,fold5,DSC,4,0.0661398903735003
Yolo3D,fold5,DSC,5,0.0511073050688737
Yolo3D,fold5,DSC,6,0.0541609340242214
Yolo3D,fold5,DSC,7,0.0627861483100648
Yolo3D,fold5,DSC,8,0.0552433831949072
Yolo3D,fold5,DSC,9,0.0518331808164939
Yolo3D,fold5,DSC,10,0.0680639743242687
Yolo3D,fold5,DSC,11,0.057892734252173
Yolo3D,fold5,DSC,12,0.0610113013132308
Yolo3D,fold5,DSC,13,0.065164149437512
Yolo3D,fold5,DSC,14,0.0602189742738641
Yolo3D,fold5,DSC,15,0.0644720312897637
Yolo3D,fold5,DSC,16,0.0589849078130722
Yolo3D,fold5,DSC,17,0.0571658004993948
Yolo3D,fold5,DSC,18,0.0626724200090665
