Algorithm,Instance,MetricName,ExecutionId,MetricValue
nnUNet2D,P47T2,IoU,3,0.35162635529608
nnUNet2D,P48T1,DSC,3,0.7553801095122883
nnUNet2D,P48T1,IoU,3,0.6069163085737671
nnUNet2D,P49T1,DSC,3,0.6657381615598886
nnUNet2D,P49T1,IoU,3,0.4989561586638831
nnUNet2D,P50T1,DSC,3,0.7640268022927262
nnUNet2D,P50T1,IoU,3,0.6181580666231221
nnUNet2D,P51T1,DSC,3,0.784257942152679
nnUNet2D,P51T1,IoU,3,0.6450858034321373
nnUNet2D,P52T1,DSC,3,0.8560589637979623
nnUNet2D,P52T1,IoU,3,0.7483418609058177
nnUNet2D,P53T1,DSC,3,0.582343682930319
nnUNet2D,P53T1,IoU,3,0.410779168348809
nnUNet2D,P53T2,DSC,3,0.5874706625744719
nnUNet2D,P53T2,IoU,3,0.4158997955010225
nnUNet2D,GlobalV,DSC,4,0.7406186135404107
nnUNet2D,GlobalV,IoU,4,0.5994944022199635
nnUNet2D,GlovalT,DSC,4,0.692209840153656
nnUNet2D,GlovalT,IoU,4,0.5378888568684215
nnUNet2D,P47T1,DSC,4,0.7924839294544256
nnUNet2D,P47T1,IoU,4,0.6562926562926563
nnUNet2D,P47T2,DSC,4,0.552675693101225
nnUNet2D,P47T2,IoU,4,0.3818602993585174
nnUNet2D,P48T1,DSC,4,0.6407766990291263
nnUNet2D,P48T1,IoU,4,0.4714285714285714
nnUNet2D,P49T1,DSC,4,0.6693781440650755
nnUNet2D,P49T1,IoU,4,0.5030566280566281
nnUNet2D,P50T1,DSC,4,0.6852357866901719
nnUNet2D,P50T1,IoU,4,0.5211853043711451
nnUNet2D,P51T1,DSC,4,0.7953282471507959
nnUNet2D,P51T1,IoU,4,0.6602032838154809
nnUNet2D,P52T1,DSC,4,0.8477013732056174
nnUNet2D,P52T1,IoU,4,0.7356611849515656
nnUNet2D,P53T1,DSC,4,0.5600245624808106
nnUNet2D,P53T1,IoU,4,0.388912579957356
nnUNet2D,P53T2,DSC,4,0.6862841262056564
nnUNet2D,P53T2,IoU,4,0.5223992035838726
nnUNet2D,GlobalV,DSC,5,0.74588207148637
nnUNet2D,GlobalV,IoU,5,0.6139017526450936
nnUNet2D,GlovalT,DSC,5,0.7000571058573569
nnUNet2D,GlovalT,IoU,5,0.546083441451246
nnUNet2D,P47T1,DSC,5,0.7891019172552977
nnUNet2D,P47T1,IoU,5,0.6516666666666666
nnUNet2D,P47T2,DSC,5,0.5755376698772925
nnUNet2D,P47T2,IoU,5,0.4040385327899222
nnUNet2D,P48T1,DSC,5,0.7262395226594687
nnUNet2D,P48T1,IoU,5,0.5701539147892036
nnUNet2D,P49T1,DSC,5,0.6502972913455186
nnUNet2D,P49T1,IoU,5,0.4818077989884157
nnUNet2D,P50T1,DSC,5,0.6737273659036557
nnUNet2D,P50T1,IoU,5,0.5079855744461618
nnUNet2D,P51T1,DSC,5,0.7832047986289632
nnUNet2D,P51T1,IoU,5,0.643661971830986
nnUNet2D,P52T1,DSC,5,0.8489058881690215
nnUNet2D,P52T1,IoU,5,0.7374773960216998
nnUNet2D,P53T1,DSC,5,0.5689933872152829
nnUNet2D,P53T1,IoU,5,0.3976175806120353
nnUNet2D,P53T2,DSC,5,0.6845061116617113
nnUNet2D,P53T2,IoU,5,0.5203415369161225
nnUNet3D,GlobalV,DSC,1,0.7613967865481843
nnUNet3D,GlobalV,IoU,1,0.625936085212523
nnUNet3D,GlovalT,DSC,1,0.7739520796965004
nnUNet3D,GlovalT,IoU,1,0.6371538902944268
nnUNet3D,P47T1,DSC,1,0.803869558433453
nnUNet3D,P47T1,IoU,1,0.672058439864336
nnUNet3D,P47T2,DSC,1,0.7428090832632465
nnUNet3D,P47T2,IoU,1,0.5908482740165909
nnUNet3D,P48T1,DSC,1,0.8167613636363636
nnUNet3D,P48T1,IoU,1,0.6902761104441777
nnUNet3D,P49T1,DSC,1,0.7188492063492063
nnUNet3D,P49T1,IoU,1,0.5610964844354963
nnUNet3D,P50T1,DSC,1,0.8529350757104335
nnUNet3D,P50T1,IoU,1,0.7435804701627486
nnUNet3D,P51T1,DSC,1,0.8479943075691542
nnUNet3D,P51T1,IoU,1,0.7361025324274243
nnUNet3D,P52T1,DSC,1,0.8449996191636835
nnUNet3D,P52T1,IoU,1,0.7316011606436297
nnUNet3D,P53T1,DSC,1,0.6183729433272395
nnUNet3D,P53T1,IoU,1,0.4475686404234204
nnUNet3D,P53T2,DSC,1,0.718977559815723
nnUNet3D,P53T2,IoU,1,0.5612529002320186
nnUNet3D,GlobalV,DSC,2,0.6285020871683167
nnUNet3D,GlobalV,IoU,2,0.4758554757543832
nnUNet3D,GlovalT,DSC,2,0.7575149987161129
nnUNet3D,GlovalT,IoU,2,0.615079208875597
nnUNet3D,P47T1,DSC,2,0.8114139964929061
nnUNet3D,P47T1,IoU,2,0.6826716738197425
nnUNet3D,P47T2,DSC,2,0.6990976853668105
nnUNet3D,P47T2,IoU,2,0.537394451145959
nnUNet3D,P48T1,DSC,2,0.7724347724347724
nnUNet3D,P48T1,IoU,2,0.6292413267251239
nnUNet3D,P49T1,DSC,2,0.7146195265671035
nnUNet3D,P49T1,IoU,2,0.5559595320897882
nnUNet3D,P50T1,DSC,2,0.8443248745728205
nnUNet3D,P50T1,IoU,2,0.7305901598087329
nnUNet3D,P51T1,DSC,2,0.8001148765077541
nnUNet3D,P51T1,IoU,2,0.6668262326471996
nnUNet3D,P52T1,DSC,2,0.8511425854047245
nnUNet3D,P52T1,IoU,2,0.7408600707030026
nnUNet3D,P53T1,DSC,2,0.6268961121733588
nnUNet3D,P53T1,IoU,2,0.4565540289639807
nnUNet3D,P53T2,DSC,2,0.6975905589247664
nnUNet3D,P53T2,IoU,2,0.5356154039768437
nnUNet3D,GlobalV,DSC,3,0.7471415145427688
nnUNet3D,GlobalV,IoU,3,0.6179464804924449
nnUNet3D,GlovalT,DSC,3,0.7533515197333276
nnUNet3D,GlovalT,IoU,3,0.6082936380998185
nnUNet3D,P47T1,DSC,3,0.8069538926681784
nnUNet3D,P47T1,IoU,3,0.6763811454637608
nnUNet3D,P47T2,DSC,3,0.7148399612027158
nnUNet3D,P47T2,IoU,3,0.5562264150943397
nnUNet3D,P48T1,DSC,3,0.7590861889927311
nnUNet3D,P48T1,IoU,3,0.6117154811715482
nnUNet3D,P49T1,DSC,3,0.7222896440129449
nnUNet3D,P49T1,IoU,3,0.5652999841697008
nnUNet3D,P50T1,DSC,3,0.7962066182405165
nnUNet3D,P50T1,IoU,3,0.6614146832048273
nnUNet3D,P51T1,DSC,3,0.8132849567401619
nnUNet3D,P51T1,IoU,3,0.6853245531514581
nnUNet3D,P52T1,DSC,3,0.8411832918013372
nnUNet3D,P52T1,IoU,3,0.7258984840742634
nnUNet3D,P53T1,DSC,3,0.6508848001875073
nnUNet3D,P53T1,IoU,3,0.4824530924252953
nnUNet3D,P53T2,DSC,3,0.6754343237538561
nnUNet3D,P53T2,IoU,3,0.5099289041431724
nnUNet3D,GlobalV,DSC,4,0.7647724478350183
nnUNet3D,GlobalV,IoU,4,0.6259145742233603
nnUNet3D,GlovalT,DSC,4,0.760888181207005
nnUNet3D,GlovalT,IoU,4,0.6207247717419802
nnUNet3D,P47T1,DSC,4,0.8178913738019169
nnUNet3D,P47T1,IoU,4,0.6918918918918919
nnUNet3D,P47T2,DSC,4,0.7234513274336283
nnUNet3D,P47T2,IoU,4,0.5667244367417678
nnUNet3D,P48T1,DSC,4,0.8477469561943015
nnUNet3D,P48T1,IoU,4,0.7357298474945534
nnUNet3D,P49T1,DSC,4,0.6933387080520004
