dataId,model,fold,ValTest,dsc,iou,accuracy,precision,recall,f1_score
24,nnUNet2D,0,val,0.7055453772999449,0.5655182737954048,0.9990031081103928,0.8853469156520556,0.7013979716167134,0.7827099323431247
24,nnUNet2D,0,test,0.7020821494001941,0.5491042121900054,0.999528737720578,0.8730015762075304,0.6749987563961225,0.7613369684668746
24,nnUNet2D,1,val,0.5884636856645581,0.4397582283927658,0.9995467814181612,0.6918828649794712,0.6203298711279688,0.6541554794442263
24,nnUNet2D,1,test,0.7338215686477785,0.5869875803524343,0.999569618303852,0.8674293204506297,0.724195393713324,0.789367334125409
24,nnUNet2D,2,val,0.7561928716230293,0.6234848174824128,0.9993985186896314,0.8128698741107724,0.8594771911773121,0.8355240235935475
24,nnUNet2D,2,test,0.7365867586422121,0.5890666938228027,0.9995679010977794,0.8690565471596062,0.7205392229925814,0.7878597837160298
24,nnUNet2D,3,val,0.7574873220608139,0.6197320351565605,0.9993195122900008,0.8593091404418866,0.7808305674007177,0.8181922547035104
24,nnUNet2D,3,test,0.7226262793563681,0.5722994677427276,0.999563358810749,0.8882851968212709,0.6953439785020228,0.7800610564945011
24,nnUNet2D,4,val,0.6906567358737794,0.5625812391712441,0.9993973079161498,0.8578911867978414,0.7671873251774103,0.8100078852095963
24,nnUNet2D,4,test,0.7234248571367529,0.5728866577885978,0.999564771351228,0.8872130525376714,0.6978809132878441,0.7812395096734192
24,nnUNet3D,0,val,0.7703594347962317,0.6371867669287532,0.9991806776453452,0.9282081086976052,0.7369312088452723,0.8215834859184051
24,nnUNet3D,0,test,0.7650334305679456,0.6261804973130773,0.9995764317343976,0.8277767544558617,0.7824205342388895,0.8044597948042873
24,nnUNet3D,1,val,0.6340577735102809,0.4831548699791085,0.9995151499609533,0.6332666174962966,0.7087395809857835,0.6688807908640421
24,nnUNet3D,1,test,0.7685958679300725,0.6326790707571266,0.9995871227270424,0.8328903392084938,0.7871710689848882,0.8093855391861775
24,nnUNet3D,2,val,0.7635441178008978,0.6315005987323051,0.9993669296780944,0.7986632073834873,0.8608631470973422,0.828597483725076
24,nnUNet3D,2,test,0.7503804683315014,0.6089119168880703,0.9995698952725732,0.8358054595319406,0.7638163458095333,0.7981909597206521
24,nnUNet3D,3,val,0.7692397842833291,0.630561055484602,0.9992066719744598,0.7743685350882541,0.8402838069621251,0.8059806850189495
24,nnUNet3D,3,test,0.7516035931450757,0.6115401623937308,0.9995778996686208,0.8466152051862246,0.758344525683252,0.8000524298048795
24,nnUNet3D,4,val,0.705609045810741,0.5727267702268457,0.999385756691241,0.84028525717363,0.781805003568907,0.8099909035681658
24,nnUNet3D,4,test,0.7350832549059163,0.5911974246435088,0.9995718340536227,0.8533165814675007,0.7432721484263135,0.794501924252256
