dataId,model,fold,ValTest,dsc,iou,accuracy,precision,recall,f1_score
0,nnUNet2D,0,val,0.7256470979741675,0.584416023404257,0.9990097368046116,0.8891274686546402,0.7118253433646257,0.7906584396311005
0,nnUNet2D,0,test,0.6715120497466147,0.5174164840021187,0.9995587118910904,0.7946083068037848,0.6590118922282684,0.7204857061995605
0,nnUNet2D,1,val,0.5618391747290392,0.4151085326661576,0.9995851497322096,0.6422801030522343,0.5483870967603351,0.5916314676235561
0,nnUNet2D,1,test,0.7138210547500246,0.5606473541879473,0.9996154443175174,0.835531001127566,0.6902847362023061,0.7559946391846237
0,nnUNet2D,2,val,0.7328711126236005,0.6120288693075497,0.9990877256187066,0.8564985301716371,0.788780802456176,0.8212460260957357
0,nnUNet2D,2,test,0.6991699704968575,0.5478914107344776,0.9996000417791792,0.8159541407539401,0.6928343466289238,0.7493707981567168
0,nnUNet2D,3,val,0.7406186135404107,0.5994944022199635,0.9994872270334628,0.8689133149696725,0.7578095381302091,0.8095672304095484
0,nnUNet2D,3,test,0.692209840153656,0.5378888568684215,0.9995921327834688,0.8175182481593868,0.6789452101090976,0.74181572374115
0,nnUNet2D,4,val,0.74588207148637,0.6139017526450936,0.999480181641613,0.814950610354791,0.8879912264594052,0.8499044815897906
0,nnUNet2D,4,test,0.7000571058573569,0.546083441451246,0.9995949947935896,0.816242403622145,0.6849002442523863,0.744825397053696
0,nnUNet3D,0,val,0.7613967865481843,0.625936085212523,0.999098282166118,0.8765505893361839,0.7644244003825345,0.8166567096068774
0,nnUNet3D,0,test,0.7739520796965004,0.6371538902944268,0.9996562510424656,0.8047463381906071,0.7944443453792323,0.7995621090474482
0,nnUNet3D,1,val,0.6285020871683167,0.4758554757543832,0.9996687617015072,0.7386110911604914,0.6121896833500711,0.6694844496310044
0,nnUNet3D,1,test,0.7575149987161129,0.615079208875597,0.9996574358531072,0.8334253381027941,0.753704066883978,0.7915624588901654
0,nnUNet3D,2,val,0.7471415145427688,0.6179464804924449,0.9989249545632676,0.7590339928130198,0.8722748537204171,0.8117239428579694
0,nnUNet3D,2,test,0.7533515197333276,0.6082936380998185,0.9996221069539816,0.7762125034921049,0.7898443489451947,0.7829690465722543
0,nnUNet3D,3,val,0.7647724478350183,0.6259145742233603,0.9994613650791052,0.8201141956027164,0.801251692485139,0.8105731735901669
0,nnUNet3D,3,test,0.760888181207005,0.6207247717419802,0.9996549892960684,0.8278696507383261,0.7577870094552748,0.7912795285849665
0,nnUNet3D,4,val,0.7812211500992818,0.6530736326478236,0.999524176391948,0.837218264274085,0.8849674909187876,0.8604308814312526
0,nnUNet3D,4,test,0.7618228629108516,0.6229322478866826,0.9996580975006084,0.8311398791335427,0.7577870094552748,0.7927702254047527
1,nnUNet2D,0,val,0.7355209570945926,0.5956113685322106,0.9990125218789764,0.8800009985001587,0.7226667057097232,0.7936110289816423
1,nnUNet2D,0,test,0.6826685468929038,0.5307817933487962,0.999575114594256,0.8060009456921851,0.6686041328542847,0.7309014931107871
1,nnUNet2D,1,val,0.5727905672573647,0.4250689312692601,0.9996018004400472,0.6587033073065008,0.5672662405089289,0.6095748771796855
1,nnUNet2D,1,test,0.7147313763577016,0.5611123298104419,0.9996145057012952,0.8349667558770515,0.6896250467912233,0.7553680261361257
1,nnUNet2D,2,val,0.7471835615924711,0.6276016024688216,0.9991093638000637,0.8532942736691311,0.8027925826460975,0.8272733640027264
1,nnUNet2D,2,test,0.6989370842882184,0.5472914602453472,0.9995813002290332,0.7840672096819411,0.7105211546233625,0.745484596503257
1,nnUNet2D,3,val,0.7415626583059651,0.6023100708469652,0.99950838917483,0.8781705529181183,0.7642184444036543,0.8172413406379284
1,nnUNet2D,3,test,0.7074170258433008,0.555236005118095,0.9996055657664552,0.8241267002843581,0.6902669067587635,0.7512807079650552
1,nnUNet2D,4,val,0.7491079069476259,0.6159519773657104,0.999479861396529,0.811176687912457,0.8943468156699952,0.8507337995866875
1,nnUNet2D,4,test,0.6765442647750857,0.519743106311745,0.9995832236229316,0.8232317603098257,0.6584591794784422,0.7316835897066123
1,nnUNet3D,0,val,0.7690869203557893,0.6324152357822721,0.9991262175390982,0.8873704357113082,0.7644244003825345,0.8213218219931236
1,nnUNet3D,0,test,0.7669096396040422,0.627567668250887,0.9996414178287212,0.792731493870641,0.7914311694205024,0.7920807479745042
